session_id,node,concept,actual_nodes,status,duration_ms,message
goal_round06_dengue_brazil_2024_q1,06,source registry/dedup,source_dedup_and_registry,completed,22,source_dedup_and_registry completed.
goal_round06_dengue_brazil_2024_q1,07,source screening,source_screening,completed,38,source_screening completed.
goal_round06_dengue_brazil_2024_q1,08,source critic,source_critic_and_uncertainty_routing,completed,63116,source_critic_and_uncertainty_routing completed.
goal_round06_dengue_brazil_2024_q1,09,fetch/parse,content_fetch_and_parse,completed,44608,content_fetch_and_parse completed.
goal_round06_dengue_brazil_2024_q1,10,document quality,document_quality_check,completed,1457,document_quality_check completed.
goal_round06_dengue_brazil_2024_q1,11,evidence chunking,evidence_chunking_and_data_presence_flagging,completed,1222,evidence_chunking_and_data_presence_flagging completed.
goal_round06_dengue_brazil_2024_q1,12,structured extraction,structured_extraction,completed,238420,structured_extraction completed.
goal_round06_dengue_brazil_2024_q1,13,schema validation,schema_validation_and_repair,completed,278,schema_validation_and_repair completed.
goal_round06_dengue_brazil_2024_q1,14,normalization,record_normalization,completed,161,record_normalization completed.
goal_round06_dengue_brazil_2024_q1,15,record linking,record_linking,completed,108,record_linking completed.
goal_round06_dengue_brazil_2024_q1,16,cross-source consistency,cross_source_consistency_check,completed,124,cross_source_consistency_check completed.
goal_round06_dengue_brazil_2024_q1,17,quality gate routing,quality_gate_routing,completed,120,quality_gate_routing completed.
goal_round06_dengue_brazil_2024_q1,18,human review queue,human_review,pending,,
goal_round06_dengue_brazil_2024_q1,19,post-review application,human_review,pending,,
goal_round06_dengue_brazil_2024_q1,20,final package/report,final_data_package_builder,completed,277,final_data_package_builder completed.
goal_round06_legionnaires_ontario_2025_07,01,task scope,task_intake_and_scope_planning,completed,4,task_intake_and_scope_planning completed.
goal_round06_legionnaires_ontario_2025_07,02,disease intelligence,disease_intelligence_builder,completed,48840,disease_intelligence_builder completed.
goal_round06_legionnaires_ontario_2025_07,03,profile/schema setup,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round06_legionnaires_ontario_2025_07,04,source planning/query strategy,executable_source_planning;query_strategy_builder,completed;completed,58123;11,executable_source_planning completed. | query_strategy_builder completed.
goal_round06_legionnaires_ontario_2025_07,05,source discovery,source_discovery,completed,182554,source_discovery completed.
goal_round06_legionnaires_ontario_2025_07,06,source registry/dedup,source_dedup_and_registry,completed,20,source_dedup_and_registry completed.
goal_round06_legionnaires_ontario_2025_07,07,source screening,source_screening,completed,25,source_screening completed.
goal_round06_legionnaires_ontario_2025_07,08,source critic,source_critic_and_uncertainty_routing,completed,74194,source_critic_and_uncertainty_routing completed.
goal_round06_legionnaires_ontario_2025_07,09,fetch/parse,content_fetch_and_parse,completed,64594,content_fetch_and_parse completed.
goal_round06_legionnaires_ontario_2025_07,10,document quality,document_quality_check,completed,557,document_quality_check completed.
goal_round06_legionnaires_ontario_2025_07,11,evidence chunking,evidence_chunking_and_data_presence_flagging,completed,557,evidence_chunking_and_data_presence_flagging completed.
goal_round06_legionnaires_ontario_2025_07,12,structured extraction,structured_extraction,completed,262336,structured_extraction completed.
goal_round06_legionnaires_ontario_2025_07,13,schema validation,schema_validation_and_repair,completed,156,schema_validation_and_repair completed.
goal_round06_legionnaires_ontario_2025_07,14,normalization,record_normalization,completed,161,record_normalization completed.
goal_round06_legionnaires_ontario_2025_07,15,record linking,record_linking,completed,233,record_linking completed.
goal_round06_legionnaires_ontario_2025_07,16,cross-source consistency,cross_source_consistency_check,completed,131,cross_source_consistency_check completed.
goal_round06_legionnaires_ontario_2025_07,17,quality gate routing,quality_gate_routing,completed,124,quality_gate_routing completed.
goal_round06_legionnaires_ontario_2025_07,18,human review queue,human_review,pending,,
goal_round06_legionnaires_ontario_2025_07,19,post-review application,human_review,pending,,
goal_round06_legionnaires_ontario_2025_07,20,final package/report,final_data_package_builder,completed,264,final_data_package_builder completed.
